station,valid,lon,lat,elevation,tmpf,dwpf,feel,sknt
GZH,2023-07-01 00:53,-87.0441,31.4158,79.00,83.00,78.00,92.84,0.00
MDQ,2023-07-01 00:55,-86.5600,34.8600,230.00,90.00,70.30,95.74,4.00
4A9,2023-07-01 00:55,-85.7214,34.4737,267.00,82.00,74.70,88.27,0.00
8A0,2023-07-01 00:55,-86.2481,34.2316,317.00,82.40,75.20,89.48,0.00
OZR,2023-07-01 00:55,-85.7134,31.2758,91.00,83.50,72.70,89.42,3.00
LOR,2023-07-01 00:55,-85.7511,31.3558,74.00,83.00,74.30,89.97,0.00
4A6,2023-07-01 00:55,-86.0059,34.6887,198.00,,,,
JFX,2023-07-01 00:55,-87.3142,33.9020,147.00,89.60,78.80,105.15,4.00
CQF,2023-07-01 00:55,-87.8770,30.4605,27.00,84.20,71.60,89.60,0.00
DYA,2023-07-01 00:55,-87.9541,32.4638,32.25,83.80,79.00,95.57,0.00
SEM,2023-07-01 00:55,-86.9878,32.3439,44.25,86.00,80.60,101.90,5.00
SCD,2023-07-01 00:55,-86.3055,33.1718,170.50,83.70,73.80,90.52,0.00
1A9,2023-07-01 00:55,-86.5127,32.4387,63.56,83.50,75.20,91.33,0.00
EDN,2023-07-01 00:55,-85.9048,31.2982,104.85,83.30,73.00,89.34,0.00
ASN,2023-07-01 00:55,-86.0512,33.5695,155.32,85.50,74.80,94.05,0.00
PLR,2023-07-01 00:55,-86.2491,33.5588,144.69,82.40,75.20,89.48,0.00
1R8,2023-07-01 00:55,-87.8193,30.8703,72.03,87.80,77.00,99.92,0.00
JKA,2023-07-01 00:55,-87.6718,30.2905,4.90,86.00,73.40,93.45,5.00
CMD,2023-07-01 00:55,-86.8580,34.2687,289.02,86.00,78.80,99.38,0.00
HDL,2023-07-01 00:55,-85.3125,31.3641,108.00,86.00,66.20,88.39,4.00
HEY,2023-07-01 00:55,-85.6543,31.3460,97.00,85.50,71.40,91.14,0.00
HUA,2023-07-01 00:55,-86.6848,34.6786,209.00,88.30,77.70,101.60,4.00
ALX,2023-07-01 00:55,-85.9613,32.9143,193.00,79.00,76.00,79.00,0.00
SXS,2023-07-01 00:55,-85.8549,31.3612,122.26,83.50,72.00,89.01,0.00
MXF,2023-07-01 00:55,-86.3658,32.3829,51.00,85.00,72.00,90.89,0.00
MOB,2023-07-01 00:56,-88.2456,30.6883,67.00,87.00,72.00,93.65,4.00
EKY,2023-07-01 00:56,-86.9263,33.3126,213.73,87.00,75.00,96.56,4.00
GAD,2023-07-01 00:56,-86.0891,33.9727,173.00,84.00,78.00,94.94,0.00
1M4,2023-07-01 00:56,-87.6004,34.2803,284.00,87.00,78.00,100.28,6.00
PRN,2023-07-01 00:58,-86.6107,31.8457,137.50,83.00,75.00,90.18,0.00
EUF,2023-07-01 00:58,-85.1289,31.9513,87.00,77.00,69.00,77.00,0.00
0J4,2023-07-01 00:58,-86.3119,31.0447,91.00,85.00,74.00,92.36,3.00
JKA,2023-07-01 01:15,-87.6718,30.2905,4.90,86.00,73.40,93.45,3.00
4A9,2023-07-01 01:15,-85.7214,34.4737,267.00,80.20,75.00,85.28,0.00
ALX,2023-07-01 01:15,-85.9613,32.9143,193.00,78.60,77.50,78.60,0.00
8A0,2023-07-01 01:15,-86.2481,34.2316,317.00,82.40,75.20,89.48,0.00
4A6,2023-07-01 01:15,-86.0059,34.6887,198.00,,,,
JFX,2023-07-01 01:15,-87.3142,33.9020,147.00,87.80,78.80,102.37,0.00
CQF,2023-07-01 01:15,-87.8770,30.4605,27.00,82.40,71.60,87.18,0.00
CMD,2023-07-01 01:15,-86.8580,34.2687,289.02,80.60,78.80,89.33,0.00
DYA,2023-07-01 01:15,-87.9541,32.4638,32.25,83.00,78.40,93.20,0.00
SEM,2023-07-01 01:15,-86.9878,32.3439,44.25,86.00,78.80,99.38,5.00
SCD,2023-07-01 01:15,-86.3055,33.1718,170.50,82.00,73.80,87.71,0.00
1A9,2023-07-01 01:15,-86.5127,32.4387,63.56,82.00,75.00,88.64,0.00
ASN,2023-07-01 01:15,-86.0512,33.5695,155.32,82.40,75.70,89.84,0.00
PLR,2023-07-01 01:15,-86.2491,33.5588,144.69,80.60,77.00,87.59,0.00
1R8,2023-07-01 01:15,-87.8193,30.8703,72.03,84.20,77.00,94.16,0.00
HDL,2023-07-01 01:15,-85.3125,31.3641,108.00,84.20,68.00,87.40,3.00
MDQ,2023-07-01 01:15,-86.5600,34.8600,230.00,87.60,71.00,93.51,4.00
EDN,2023-07-01 01:15,-85.9048,31.2982,104.85,83.00,73.00,88.98,0.00
LOR,2023-07-01 01:28,-85.7511,31.3558,74.00,80.60,73.40,85.32,3.00
HEY,2023-07-01 01:33,-85.6543,31.3460,97.00,84.20,71.60,89.60,0.00
MDQ,2023-07-01 01:35,-86.5600,34.8600,230.00,87.30,71.40,93.39,0.00
JKA,2023-07-01 01:35,-87.6718,30.2905,4.90,86.00,75.20,95.19,5.00
4A9,2023-07-01 01:35,-85.7214,34.4737,267.00,79.20,74.80,79.20,0.00
ALX,2023-07-01 01:35,-85.9613,32.9143,193.00,77.70,77.40,77.70,0.00
8A0,2023-07-01 01:35,-86.2481,34.2316,317.00,80.60,75.20,86.17,0.00
4A6,2023-07-01 01:35,-86.0059,34.6887,198.00,,,,
JFX,2023-07-01 01:35,-87.3142,33.9020,147.00,84.20,78.80,96.10,0.00
CQF,2023-07-01 01:35,-87.8770,30.4605,27.00,82.40,71.60,87.18,0.00
CMD,2023-07-01 01:35,-86.8580,34.2687,289.02,80.60,78.80,89.33,0.00
SEM,2023-07-01 01:35,-86.9878,32.3439,44.25,86.00,77.00,97.15,0.00
SCD,2023-07-01 01:35,-86.3055,33.1718,170.50,80.60,73.80,85.50,0.00
1A9,2023-07-01 01:35,-86.5127,32.4387,63.56,81.50,75.00,87.75,0.00
EDN,2023-07-01 01:35,-85.9048,31.2982,104.85,81.00,73.40,86.00,0.00
ASN,2023-07-01 01:35,-86.0512,33.5695,155.32,80.80,74.80,86.35,0.00
PLR,2023-07-01 01:35,-86.2491,33.5588,144.69,78.80,77.00,78.80,0.00
1R8,2023-07-01 01:35,-87.8193,30.8703,72.03,82.40,77.00,90.85,3.00
HDL,2023-07-01 01:35,-85.3125,31.3641,108.00,82.40,68.00,85.38,4.00
DYA,2023-07-01 01:35,-87.9541,32.4638,32.25,81.50,78.00,90.10,0.00
SXS,2023-07-01 01:36,-85.8549,31.3612,122.26,82.40,71.60,87.18,0.00
OZR,2023-07-01 01:41,-85.7134,31.2758,91.00,82.40,73.40,88.26,3.00
DCU,2023-07-01 01:53,-86.9453,34.6525,177.00,86.00,73.00,93.09,3.00
GZH,2023-07-01 01:53,-87.0441,31.4158,79.00,81.00,77.00,88.30,0.00
BHM,2023-07-01 01:53,-86.7449,33.5655,192.00,90.00,72.00,97.29,8.00
BFM,2023-07-01 01:53,-88.0681,30.6268,8.00,85.00,72.00,90.82,3.00
ANB,2023-07-01 01:53,-85.8479,33.5904,182.00,79.00,72.00,79.00,3.00
MSL,2023-07-01 01:53,-87.5996,34.7439,168.00,84.00,75.00,91.96,0.00
HSV,2023-07-01 01:53,-86.7861,34.6439,196.00,86.00,78.00,98.48,3.00
EET,2023-07-01 01:53,-86.7818,33.1784,172.00,86.00,74.00,93.91,3.00
TOI,2023-07-01 01:53,-86.0121,31.8604,121.00,82.00,74.00,87.93,0.00
DHN,2023-07-01 01:53,-85.4500,31.3200,122.00,82.00,69.00,85.39,5.00
MGM,2023-07-01 01:53,-86.3940,32.3006,62.00,81.00,76.00,87.33,4.00
TCL,2023-07-01 01:53,-87.6161,33.2119,52.00,84.00,78.00,94.94,0.00
MDQ,2023-07-01 01:55,-86.5600,34.8600,230.00,83.30,73.00,89.34,0.00
4A9,2023-07-01 01:55,-85.7214,34.4737,267.00,77.40,74.50,77.40,0.00
ALX,2023-07-01 01:55,-85.9613,32.9143,193.00,77.00,76.80,77.00,0.00
OZR,2023-07-01 01:55,-85.7134,31.2758,91.00,82.00,73.40,87.47,4.00
CQF,2023-07-01 01:55,-87.8770,30.4605,27.00,82.40,71.60,87.18,0.00
4A6,2023-07-01 01:55,-86.0059,34.6887,198.00,,,,
JFX,2023-07-01 01:55,-87.3142,33.9020,147.00,80.60,80.60,91.23,0.00
SEM,2023-07-01 01:55,-86.9878,32.3439,44.25,84.20,80.60,98.50,0.00
SCD,2023-07-01 01:55,-86.3055,33.1718,170.50,79.70,73.60,79.70,0.00
SXS,2023-07-01 01:55,-85.8549,31.3612,122.26,82.40,73.20,88.13,0.00
1A9,2023-07-01 01:55,-86.5127,32.4387,63.56,80.20,75.20,85.37,0.00
EDN,2023-07-01 01:55,-85.9048,31.2982,104.85,80.60,73.40,85.32,0.00
ASN,2023-07-01 01:55,-86.0512,33.5695,155.32,80.60,75.20,86.17,3.00
PLR,2023-07-01 01:55,-86.2491,33.5588,144.69,78.80,75.20,78.80,0.00
JKA,2023-07-01 01:55,-87.6718,30.2905,4.90,82.40,75.20,89.48,4.00
8A0,2023-07-01 01:55,-86.2481,34.2316,317.00,80.60,75.20,86.17,
CMD,2023-07-01 01:55,-86.8580,34.2687,289.02,80.60,78.80,89.33,0.00
1R8,2023-07-01 01:55,-87.8193,30.8703,72.03,84.20,75.20,92.45,0.00
HDL,2023-07-01 01:55,-85.3125,31.3641,108.00,80.60,68.00,83.29,0.00
HEY,2023-07-01 01:55,-85.6543,31.3460,97.00,81.50,73.20,86.72,0.00
HUA,2023-07-01 01:55,-86.6848,34.6786,209.00,86.40,77.00,97.79,0.00
LOR,2023-07-01 01:55,-85.7511,31.3558,74.00,79.70,74.00,79.70,3.00
DYA,2023-07-01 01:55,-87.9541,32.4638,32.25,80.60,78.00,88.64,0.00
MXF,2023-07-01 01:55,-86.3658,32.3829,51.00,82.00,74.00,87.77,0.00
MOB,2023-07-01 01:56,-88.2456,30.6883,67.00,85.00,72.00,90.82,4.00
EKY,2023-07-01 01:56,-86.9263,33.3126,213.73,84.00,75.00,91.96,3.00
79J,2023-07-01 01:56,-86.3902,31.3061,98.00,82.00,73.00,87.39,0.00
1M4,2023-07-01 01:56,-87.6004,34.2803,284.00,84.00,78.00,94.94,4.00
GAD,2023-07-01 01:56,-86.0891,33.9727,173.00,81.00,78.00,89.39,0.00
PRN,2023-07-01 01:58,-86.6107,31.8457,137.50,79.00,75.00,79.00,0.00
EUF,2023-07-01 01:58,-85.1289,31.9513,87.00,75.00,68.00,75.00,3.00
0J4,2023-07-01 01:58,-86.3119,31.0447,91.00,82.00,75.00,88.64,0.00
SXS,2023-07-01 02:13,-85.8549,31.3612,122.26,80.60,73.40,85.32,0.00
MDQ,2023-07-01 02:15,-86.5600,34.8600,230.00,81.30,73.60,86.61,0.00
4A9,2023-07-01 02:15,-85.7214,34.4737,267.00,77.00,74.70,77.00,0.00
ALX,2023-07-01 02:15,-85.9613,32.9143,193.00,76.60,76.30,76.60,0.00
8A0,2023-07-01 02:15,-86.2481,34.2316,317.00,78.80,75.20,78.80,0.00
4A6,2023-07-01 02:15,-86.0059,34.6887,198.00,,,,
JFX,2023-07-01 02:15,-87.3142,33.9020,147.00,80.60,78.80,89.33,0.00
CQF,2023-07-01 02:15,-87.8770,30.4605,27.00,82.40,73.40,88.26,0.00
CMD,2023-07-01 02:15,-86.8580,34.2687,289.02,78.80,78.80,78.80,0.00
DYA,2023-07-01 02:15,-87.9541,32.4638,32.25,,,,
SEM,2023-07-01 02:15,-86.9878,32.3439,44.25,82.40,82.40,97.48,0.00
SCD,2023-07-01 02:15,-86.3055,33.1718,170.50,78.80,73.80,78.80,0.00
1A9,2023-07-01 02:15,-86.5127,32.4387,63.56,79.20,75.60,79.20,0.00
ASN,2023-07-01 02:15,-86.0512,33.5695,155.32,79.70,75.20,79.70,0.00
PLR,2023-07-01 02:15,-86.2491,33.5588,144.69,77.00,75.20,77.00,0.00
1R8,2023-07-01 02:15,-87.8193,30.8703,72.03,84.20,75.20,92.45,0.00
HDL,2023-07-01 02:15,-85.3125,31.3641,108.00,80.60,68.00,83.29,0.00
JKA,2023-07-01 02:15,-87.6718,30.2905,4.90,82.40,75.20,89.48,5.00
EDN,2023-07-01 02:15,-85.9048,31.2982,104.85,80.20,74.00,84.91,0.00
HEY,2023-07-01 02:21,-85.6543,31.3460,97.00,84.20,71.60,89.60,0.00
LOR,2023-07-01 02:26,-85.7511,31.3558,74.00,78.80,73.40,78.80,0.00
OZR,2023-07-01 02:31,-85.7134,31.2758,91.00,80.60,73.40,85.32,4.00
4A9,2023-07-01 02:35,-85.7214,34.4737,267.00,77.70,74.70,77.70,3.00
8A0,2023-07-01 02:35,-86.2481,34.2316,317.00,78.80,75.20,78.80,0.00
4A6,2023-07-01 02:35,-86.0059,34.6887,198.00,,,,
JFX,2023-07-01 02:35,-87.3142,33.9020,147.00,78.80,78.80,78.80,0.00
CQF,2023-07-01 02:35,-87.8770,30.4605,27.00,82.40,73.40,88.26,0.00
CMD,2023-07-01 02:35,-86.8580,34.2687,289.02,82.40,78.80,92.76,0.00
DYA,2023-07-01 02:35,-87.9541,32.4638,32.25,81.30,77.50,89.33,0.00
SEM,2023-07-01 02:35,-86.9878,32.3439,44.25,82.40,82.40,97.48,0.00
SCD,2023-07-01 02:35,-86.3055,33.1718,170.50,78.00,73.80,78.10,0.00
1A9,2023-07-01 02:35,-86.5127,32.4387,63.56,78.80,75.20,78.80,0.00
EDN,2023-07-01 02:35,-85.9048,31.2982,104.85,79.30,73.40,79.30,0.00
ASN,2023-07-01 02:35,-86.0512,33.5695,155.32,79.20,74.70,79.20,0.00
PLR,2023-07-01 02:35,-86.2491,33.5588,144.69,77.00,75.20,77.00,0.00
1R8,2023-07-01 02:35,-87.8193,30.8703,72.03,84.20,75.20,92.45,3.00
HDL,2023-07-01 02:35,-85.3125,31.3641,108.00,80.60,68.00,83.29,4.00
JKA,2023-07-01 02:35,-87.6718,30.2905,4.90,82.40,77.00,90.85,5.00
MDQ,2023-07-01 02:35,-86.5600,34.8600,230.00,80.80,74.00,85.90,0.00
ALX,2023-07-01 02:35,-85.9613,32.9143,193.00,76.00,76.00,76.10,0.00
HSV,2023-07-01 02:53,-86.7861,34.6439,196.00,85.00,75.00,93.35,3.00
EET,2023-07-01 02:53,-86.7818,33.1784,172.00,83.00,75.00,90.18,0.00
BHM,2023-07-01 02:53,-86.7449,33.5655,192.00,88.00,73.00,95.73,5.00
ANB,2023-07-01 02:53,-85.8479,33.5904,182.00,78.00,72.00,78.10,3.00
MSL,2023-07-01 02:53,-87.5996,34.7439,168.00,82.00,75.00,88.64,0.00
TOI,2023-07-01 02:53,-86.0121,31.8604,121.00,81.00,74.00,86.25,0.00
DHN,2023-07-01 02:53,-85.4500,31.3200,122.00,79.00,69.00,79.00,6.00
DCU,2023-07-01 02:53,-86.9453,34.6525,177.00,81.00,74.00,86.25,3.00
MGM,2023-07-01 02:53,-86.3940,32.3006,62.00,81.00,76.00,87.33,0.00
TCL,2023-07-01 02:53,-87.6161,33.2119,52.00,81.00,78.00,89.39,0.00
BFM,2023-07-01 02:53,-88.0681,30.6268,8.00,85.00,73.00,91.60,3.00
GZH,2023-07-01 02:53,-87.0441,31.4158,79.00,80.00,76.00,85.75,0.00
8A0,2023-07-01 02:55,-86.2481,34.2316,317.00,78.80,75.20,78.80,0.00
LOR,2023-07-01 02:55,-85.7511,31.3558,74.00,78.60,73.00,78.60,3.00
4A6,2023-07-01 02:55,-86.0059,34.6887,198.00,,,,
JFX,2023-07-01 02:55,-87.3142,33.9020,147.00,78.80,78.80,78.80,0.00
CQF,2023-07-01 02:55,-87.8770,30.4605,27.00,82.40,73.40,88.26,0.00
MXF,2023-07-01 02:55,-86.3658,32.3829,51.00,79.20,72.30,79.20,3.00
CMD,2023-07-01 02:55,-86.8580,34.2687,289.02,78.80,78.80,78.80,0.00
DYA,2023-07-01 02:55,-87.9541,32.4638,32.25,79.50,77.20,79.50,0.00
SEM,2023-07-01 02:55,-86.9878,32.3439,44.25,84.20,82.40,101.27,0.00
SCD,2023-07-01 02:55,-86.3055,33.1718,170.50,77.70,73.80,77.70,0.00
1A9,2023-07-01 02:55,-86.5127,32.4387,63.56,78.00,74.50,78.10,0.00
EDN,2023-07-01 02:55,-85.9048,31.2982,104.85,81.00,71.60,85.17,0.00
ASN,2023-07-01 02:55,-86.0512,33.5695,155.32,79.20,74.30,79.20,0.00
PLR,2023-07-01 02:55,-86.2491,33.5588,144.69,77.00,75.20,77.00,0.00
1R8,2023-07-01 02:55,-87.8193,30.8703,72.03,82.40,73.40,88.26,0.00
HDL,2023-07-01 02:55,-85.3125,31.3641,108.00,78.80,68.00,78.80,0.00
JKA,2023-07-01 02:55,-87.6718,30.2905,4.90,82.40,77.00,90.85,5.00
MDQ,2023-07-01 02:55,-86.5600,34.8600,230.00,79.70,74.00,79.70,0.00
4A9,2023-07-01 02:55,-85.7214,34.4737,267.00,76.30,74.00,76.30,0.00
ALX,2023-07-01 02:55,-85.9613,32.9143,193.00,76.50,76.00,76.50,0.00
HEY,2023-07-01 02:55,-85.6543,31.3460,97.00,82.60,71.00,87.06,6.00
OZR,2023-07-01 02:55,-85.7134,31.2758,91.00,80.00,73.60,84.53,4.00
SXS,2023-07-01 02:55,-85.8549,31.3612,122.26,81.00,72.30,85.64,3.00
1M4,2023-07-01 02:56,-87.6004,34.2803,284.00,79.00,79.00,79.00,0.00
MOB,2023-07-01 02:56,-88.2456,30.6883,67.00,83.00,73.00,88.75,3.00
EKY,2023-07-01 02:56,-86.9263,33.3126,213.73,83.00,75.00,90.18,3.00
79J,2023-07-01 02:56,-86.3902,31.3061,98.00,80.00,75.00,85.09,0.00
GAD,2023-07-01 02:56,-86.0891,33.9727,173.00,80.00,78.00,87.68,0.00
PRN,2023-07-01 02:58,-86.6107,31.8457,137.50,77.00,75.00,77.00,0.00
EUF,2023-07-01 02:58,-85.1289,31.9513,87.00,73.00,69.00,73.00,3.00
0J4,2023-07-01 02:58,-86.3119,31.0447,91.00,82.00,74.00,87.93,0.00
MDQ,2023-07-01 03:15,-86.5600,34.8600,230.00,81.00,70.00,84.64,23.00
4A9,2023-07-01 03:15,-85.7214,34.4737,267.00,76.30,74.30,76.30,0.00
ALX,2023-07-01 03:15,-85.9613,32.9143,193.00,75.60,75.20,75.60,0.00
4A6,2023-07-01 03:15,-86.0059,34.6887,198.00,,,,
JFX,2023-07-01 03:15,-87.3142,33.9020,147.00,78.80,78.80,78.80,0.00
CQF,2023-07-01 03:15,-87.8770,30.4605,27.00,82.40,73.40,88.26,0.00
DYA,2023-07-01 03:15,-87.9541,32.4638,32.25,79.00,77.50,79.00,0.00
SEM,2023-07-01 03:15,-86.9878,32.3439,44.25,80.60,80.60,91.23,3.00
SCD,2023-07-01 03:15,-86.3055,33.1718,170.50,78.00,73.40,78.10,0.00
EDN,2023-07-01 03:15,-85.9048,31.2982,104.85,81.50,71.80,86.00,0.00
ASN,2023-07-01 03:15,-86.0512,33.5695,155.32,78.30,73.40,78.30,0.00
PLR,2023-07-01 03:15,-86.2491,33.5588,144.69,77.00,75.20,77.00,0.00
JKA,2023-07-01 03:15,-87.6718,30.2905,4.90,82.40,77.00,90.85,4.00
8A0,2023-07-01 03:15,-86.2481,34.2316,317.00,78.80,73.40,78.80,0.00
CMD,2023-07-01 03:15,-86.8580,34.2687,289.02,78.80,77.00,78.80,0.00
1R8,2023-07-01 03:15,-87.8193,30.8703,72.03,82.40,73.40,88.26,4.00
HDL,2023-07-01 03:15,-85.3125,31.3641,108.00,78.80,69.80,78.80,0.00
1A9,2023-07-01 03:15,-86.5127,32.4387,63.56,78.00,74.50,77.90,0.00
JKA,2023-07-01 03:35,-87.6718,30.2905,4.90,80.60,77.00,87.59,5.00
4A9,2023-07-01 03:35,-85.7214,34.4737,267.00,76.30,74.30,76.30,0.00
ALX,2023-07-01 03:35,-85.9613,32.9143,193.00,75.70,75.40,75.70,0.00
8A0,2023-07-01 03:35,-86.2481,34.2316,317.00,78.80,75.20,78.80,3.00
OZR,2023-07-01 03:35,-85.7134,31.2758,91.00,78.80,69.80,78.80,5.00
4A6,2023-07-01 03:35,-86.0059,34.6887,198.00,,,,
JFX,2023-07-01 03:35,-87.3142,33.9020,147.00,78.80,78.80,78.80,0.00
CQF,2023-07-01 03:35,-87.8770,30.4605,27.00,82.40,73.40,88.26,0.00
CMD,2023-07-01 03:35,-86.8580,34.2687,289.02,78.80,78.80,78.80,0.00
DYA,2023-07-01 03:35,-87.9541,32.4638,32.25,78.80,77.70,78.80,0.00
SEM,2023-07-01 03:35,-86.9878,32.3439,44.25,78.80,78.80,78.80,3.00
SCD,2023-07-01 03:35,-86.3055,33.1718,170.50,77.50,73.60,77.50,0.00
1A9,2023-07-01 03:35,-86.5127,32.4387,63.56,77.40,74.30,77.40,0.00
EDN,2023-07-01 03:35,-85.9048,31.2982,104.85,81.00,71.20,85.00,0.00
ASN,2023-07-01 03:35,-86.0512,33.5695,155.32,78.30,73.00,78.30,0.00
PLR,2023-07-01 03:35,-86.2491,33.5588,144.69,77.00,75.20,77.00,0.00
1R8,2023-07-01 03:35,-87.8193,30.8703,72.03,82.40,73.40,88.26,5.00
HDL,2023-07-01 03:35,-85.3125,31.3641,108.00,78.80,69.80,78.80,3.00
MDQ,2023-07-01 03:35,-86.5600,34.8600,230.00,78.00,64.00,77.90,17.00
SXS,2023-07-01 03:40,-85.8549,31.3612,122.26,80.60,73.40,85.32,0.00
LOR,2023-07-01 03:43,-85.7511,31.3558,74.00,78.80,71.60,78.80,3.00
HSV,2023-07-01 03:49,-86.7861,34.6439,196.00,82.40,69.80,86.22,20.00
HSV,2023-07-01 03:53,-86.7861,34.6439,196.00,81.00,68.00,83.76,24.00
EET,2023-07-01 03:53,-86.7818,33.1784,172.00,82.00,75.00,88.64,0.00
DHN,2023-07-01 03:53,-85.4500,31.3200,122.00,78.00,68.00,78.10,7.00
BHM,2023-07-01 03:53,-86.7449,33.5655,192.00,85.00,73.00,91.60,4.00
BFM,2023-07-01 03:53,-88.0681,30.6268,8.00,83.00,73.00,88.75,3.00
ANB,2023-07-01 03:53,-85.8479,33.5904,182.00,77.00,72.00,77.00,4.00
MGM,2023-07-01 03:53,-86.3940,32.3006,62.00,81.00,75.00,86.83,3.00
MSL,2023-07-01 03:53,-87.5996,34.7439,168.00,82.00,75.00,88.64,8.00
TOI,2023-07-01 03:53,-86.0121,31.8604,121.00,81.00,71.00,84.95,3.00
DCU,2023-07-01 03:53,-86.9453,34.6525,177.00,81.00,67.00,83.40,16.00
TCL,2023-07-01 03:53,-87.6161,33.2119,52.00,81.00,78.00,89.39,0.00
GZH,2023-07-01 03:53,-87.0441,31.4158,79.00,78.00,76.00,78.10,0.00
MDQ,2023-07-01 03:55,-86.5600,34.8600,230.00,74.80,66.00,74.80,7.00
4A9,2023-07-01 03:55,-85.7214,34.4737,267.00,76.60,74.50,76.60,0.00
ALX,2023-07-01 03:55,-85.9613,32.9143,193.00,74.80,74.50,74.80,0.00
8A0,2023-07-01 03:55,-86.2481,34.2316,317.00,78.80,75.20,78.80,0.00
